"","X","brand","model","year","price","transmission","fuelType","engineSize","kmpl","kilometraggio"
"14929",62952,"Skoda"," Fabia",2019,15648.4,"Manual","Petrol",1,17.7621145374449,5280
"14930",62956,"Skoda"," Fabia",2016,8688.4,"Manual","Petrol",1,20.7224669603524,47680
"14931",62966,"Skoda"," Fabia",2018,12516.4,"Manual","Petrol",1,22.625550660793,20694
"14932",62968,"Skoda"," Fabia",2018,13908.4,"Manual","Petrol",1,21.1806167400881,22539
"14933",62970,"Skoda"," Fabia",2016,9854.2,"Manual","Petrol",1.2,21.1806167400881,50429
"14934",62975,"Skoda"," Fabia",2019,15416.4,"Manual","Petrol",1,17.7621145374449,2813
"14935",62976,"Skoda"," Fabia",2017,9280,"Manual","Petrol",1.2,21.1806167400881,59440
"14936",62977,"Skoda"," Fabia",2016,9164,"Manual","Petrol",1.2,20.7224669603524,46229
"14937",62981,"Skoda"," Fabia",2018,11588.4,"Manual","Petrol",1,22.625550660793,22568
"14938",62987,"Skoda"," Fabia",2018,14488.4,"Manual","Petrol",1,22.625550660793,11059
"14939",62989,"Skoda"," Fabia",2017,9848.4,"Manual","Petrol",1.2,21.1806167400881,59918
"14940",62990,"Skoda"," Fabia",2017,11356.4,"Manual","Petrol",1.2,21.1806167400881,32427
"14941",62991,"Skoda"," Fabia",2017,13096.4,"Automatic","Petrol",1,21.6387665198238,36368
"14942",62993,"Skoda"," Fabia",2016,8688.4,"Manual","Petrol",1,20.7224669603524,25053
"14943",62994,"Skoda"," Fabia",2016,10428.4,"Manual","Petrol",1.2,21.1806167400881,57648
"14944",62996,"Skoda"," Fabia",2020,16228.4,"Manual","Petrol",1,17.7621145374449,16
"14945",63002,"Skoda"," Fabia",2018,7737.2,"Manual","Petrol",1,20.3348017621145,30941
"14946",63008,"Skoda"," Fabia",2019,13908.4,"Manual","Petrol",1,18.1145374449339,16
"14947",63011,"Skoda"," Fabia",2019,12976.92,"Manual","Petrol",1,21.6387665198238,8696
"14948",63012,"Skoda"," Fabia",2018,10434.2,"Manual","Petrol",1,22.625550660793,31080
"14949",63015,"Skoda"," Fabia",2018,10295,"Manual","Petrol",1,20.3348017621145,23453
"14950",63016,"Skoda"," Fabia",2018,10423.76,"Manual","Petrol",1,20.3348017621145,3906
"14951",63017,"Skoda"," Fabia",2019,13569.68,"Manual","Petrol",1,18.1145374449339,4480
"14952",63021,"Skoda"," Fabia",2012,5626,"Manual","Petrol",1.2,17.4801762114537,62242
"14953",63023,"Skoda"," Fabia",2016,9556.08,"Manual","Petrol",1.2,21.1806167400881,50299
"14954",63026,"Skoda"," Fabia",2017,12151,"Automatic","Petrol",1,21.6387665198238,44954
"14955",63028,"Skoda"," Fabia",2015,8462.2,"Manual","Diesel",1.4,27.7004405286344,68368
"14956",63036,"Skoda"," Fabia",2017,9848.4,"Manual","Petrol",1,22.625550660793,23274
"14957",63037,"Skoda"," Fabia",2019,13334.2,"Manual","Petrol",1,18.1145374449339,4243
"14958",63038,"Skoda"," Fabia",2019,13334.2,"Manual","Petrol",1,18.1145374449339,4920
"14959",63041,"Skoda"," Fabia",2018,15075.36,"Automatic","Petrol",1,21.6387665198238,25333
